Title,Abstract,Citations
Targeted neurotechnology restores walking in humans with spinal cord injury,Spinal cord injury leads to severe locomotor deficits or even complete leg paralysis. Here we introduce targeted spinal cord stimulation neurotechnologies that enabled voluntary control …,700
Towards new human rights in the age of neuroscience and neurotechnology,Rapid advancements in human neuroscience and neurotechnology open unprecedented … This paper assesses the implications of emerging neurotechnology applications in the …,353
Neurotechnology and society (2010–2060),"… is making possible is neurotechnology, the set of tools that can influence the human central nervous system, especially the brain. The diffusion of neurotechnology will give rise to a new …",157
Neurotechnology for biomimetic robots,… We submit that neurotechnology is the process of engineering devices that confer … neurotechnology that defines a pathway to truly autonomous robots. We submit that neurotechnology …,153
Brain leaks and consumer neurotechnology,"… According to a recent review by neurotechnology market research firm SharpBrains, the number of patent classifications related to DTC neurotechnology has more than doubled in …",118
Mind reading and writing: The future of neurotechnology,"Recent advances in neuroscience and technology have made it possible to record from large assemblies of neurons and to decode their activity to extract information. At the same time, …",95
Commercializing cognitive neurotechnology—the ethical terrain,"… If ignored, these concerns could compromise successful application of neurotechnology products in the marketplace and increase the potential for harm. Companies must therefore …",84
Neurotechnology: Current developments and ethical issues,"Neurotechnology is a fascinating and, at the same time, controversial field as one of its goals is to directly “wire up” human brains to machines. We should indeed expect to encounter …",70
Developing collaborative platforms to advance neurotechnology and its translation,… that could promote future neurotechnology roadmaps and industrial-academic-government collaborative activities. We believe that community-supported neurotechnology platforms will …,22
Neurotechnology for Pain,Neurotechnologies for treating pain rely on electrical stimulation of the central or peripheral nervous system to disrupt or block pain signaling and have been commercialized to treat a …,0
Neurotechnology-aided interventions for upper limb motor rehabilitation in severe chronic stroke,Upper limb motor deficits in severe stroke survivors often remain unresolved over extended time periods. Novel neurotechnologies have the potential to significantly support upper limb …,128
Statistical signal processing for neuroscience and neurotechnology,"This is a uniquely comprehensive reference that summarizes the state of the art of signal processing theory and techniques for solving emerging problems in neuroscience, and which …",92
"Brain data: Scanning, scraping and sculpting the plastic learning brain through neurotechnology","… As neurotechnology developments are being extended to education, … neurotechnology developments and implications for education. It examines the purposes to which neurotechnology …",65
"Neurotechnology: Premises, potential, and problems","… Neuroscience and neurotechnology have … neurotechnology are implicitly and explicitly shaping our worldview—and our world. On the one hand, neuroscience and neurotechnology …",40
A preparatory neuroethical approach to assessing developments in neurotechnology,"The intricate—and still not fully understood—relationship of the structures and functions of the brain to the properties of consciousness, cognition, emotion, and behavior that define what …",40
An ethics toolbox for neurotechnology,"… Advances in neurotechnology will raise new ethical dilemmas, to which scientists and the rest of society must respond. Here I present a “toolbox” of concepts to help us analyze these issues …",38
"Neurotechnology in national security and defense: Practical considerations, neuroethical concerns","… Thus, neuroscience and neurotechnology are implicitly and explicitly shaping our worldview… the profound questions that neurotechnology will foster. Can neurotechnology resolve the …",31
Issues in neurotechnology governance,… recommendations and best practices around neurotechnology development and use. … of neurotechnology is critical to its success. As brain science and neurotechnology have …,23
Of man and mice: translational research in neurotechnology,"Emerging technological developments in nano- and microsystems engineering have delivered powerful tools for neuroscience research over the last 50 years. However, only a few …",22
The ethics of neurotechnology,"… Chang: For me, the most pressing issue is that there is no consensus about what societal limits we want so as to avoid unwanted applications of neurotechnology, particularly for human …",10
"Pain assessment: subjectivity, objectivity, and the use of neurotechnology part one: practical and ethical Issues",This essay is the first of a two-part series that explicates how the intellectual tasks of knowing about pain and the assessment of its experience and expression in the pain patient are …,72
From healthcare to warfare and reverse: How should we regulate dual-use neurotechnology?,"… neurotechnology, the claim that we would be better off in a world without military neurotechnology … opportunities for accelerating development in neurotechnology and can spillover into …",46
Responsible innovation in neurotechnology enterprises,"Novel neurotechnology offers significant potential for the promotion of health and economic … novel neurotechnology, services and markets. At the same time, neurotechnology raises a …",27
Grand challenges in neurotechnology and system neuroergonomics,"… The benefits of using neurotechnology must be both tangible and unique. In order to explore how neurotechnology can create positive user experiences, we must develop our …",22
Emerging neurotechnology for antinoceptive mechanisms and therapeutics discovery,"The tolerance, abuse, and potential exacerbation associated with classical chronic pain medications such as opioids creates a need for alternative therapeutics. Phenotypic screening …",21
Mobilizing the private sector for responsible innovation in neurotechnology,"… that can help ensure better governance of neurotechnology innovation in corporate settings. … Frahm, NM International governance of neuroscience and neurotechnology: whom to trust …",17
Transient electronics: new opportunities for implantable neurotechnology,"… a new asset to the neurotechnology toolbox. Transient neurotechnology reduces the side … This review focuses on the rising potential of transient neurotechnology for human benefit, …",15
Towards internet-of-things for wearable neurotechnology,"… for the emerging wearable neurotechnology in modern IoT … by embedding wearable neurotechnology in their design. We … , and ubiquitous wearable neurotechnology. Most of these …",11
The security and military implications of neurotechnology and artificial intelligence,"… neurotechnology and looks at the security and military implications of these technologies in light of their current capabilities. AI and neurotechnology … , both neurotechnology and artificial …",11
Educational neurotechnology: Where do we go from here?,… to an interest in educational neurotechnology. While these tools … potential of educational neurotechnology including what we … to the successful adoption of educational neurotechnology. …,0
Implantable brain computer interface: Challenges to neurotechnology translation,"This article reviews three concepts related to implantable brain computer interface (BCI) devices being designed for human use: neural signal extraction primarily for motor commands, …",68
"The future of the self-image of the human being in the age of transhumanism, neurotechnology and global transition","In the present moment of cultural and political transition, one question seems to become the center of most other societal and civilizational questions: will the basic self-perception of the …",59
Neurotechnology and society: Strengthening responsible innovation in brain science,"Technological advances have the potential to dramatically increase our understanding of the human brain, treat and cure injury and disease, and enhance our general well-being. …",40
